,x,y,x_vel,y_vel,x_acc,y_acc,yaw,yaw_rate
38,-1.61508649848854,-5.105562925095331,-0.09991105421793327,-0.41897575198639514,0.42225052409515845,0.6474179952419783,-5.105562925095331,1.0
39,-1.6202405176705899,-5.184758358534962,-0.038925998496135365,-0.3261650535987649,0.99335924047422,2.554464660547467,-5.184758358534962,1.0
40,-1.6136193353611852,-5.494312727989516,0.10598962338029286,0.043809783234463856,-0.18330241197803798,0.9515524471560637,-5.494312727989516,1.0
41,-1.6017165839087293,-4.510478198453286,0.08025660885662993,0.1818972618085936,2.721873795276001,0.5389168741078068,-4.510478198453286,1.0
42,-1.5653717143522556,-5.4242860990868165,0.46570246877664434,0.2567271461328828,0.818746188000752,1.9005877433878497,-5.4242860990868165,1.0
43,-1.497932183267748,-4.5714272306540185,0.5774849187912993,0.5180847524703585,0.5105644880820797,-0.9345654746691352,-4.5714272306540185,1.0
44,-1.4170865595592834,-4.560873741106589,0.6463384505993759,0.38403181032217604,1.6836564432821366,-1.4493601169963397,-4.560873741106589,1.0
45,-1.3162100989605385,-4.931152794444389,0.8723936055853557,0.18421714622598592,0.3429654956816126,-0.05563917055795953,-4.931152794444389,1.0
46,-1.1942020412909096,-5.552978883091202,0.9152162868364894,0.17521693670269106,-0.84243565603155,3.088251890983157,-5.552978883091202,1.0
47,-1.0783962570995782,-5.560621870535798,0.7912113360323942,0.6107034688819393,-1.1768352990865356,1.0911368468883176,-5.560621870535798,1.0
48,-0.9897692990333412,-4.264485791984328,0.6253957915884962,0.7563076461343242,-0.060695246783180945,-0.8415055657254027,-4.264485791984328,1.0
49,-0.9068779198555182,-5.421198595394671,0.6137833444586609,0.6287861091079378,-0.8333686874501701,-1.0795024668692357,-5.421198595394671,1.0
50,-0.8357693934357606,-4.818264590990704,0.4933604542618621,0.47173391593525477,2.3447993294211065,-2.0490960052366587,-4.818264590990704,1.0
51,-0.7510883447227714,-5.242983322547625,0.8080543179751936,0.1916040192590177,-0.4980547110311102,-3.994861410814627,-5.242983322547625,1.0
52,-0.6392379501808466,-4.8160428065016765,0.7327374249355236,-0.38006068528622683,0.1279180024452926,-1.2033425200453962,-4.8160428065016765,1.0
